---------------------------------------------------------------------------------------------
Output for  sample-f.txt
---------------------------------------------------------------------------------------------
('total number of words=', 2978954)
('total number of distinct words=', 45509)
('popular_threshold_word=', 2276.0)
('common_threshold_l_word=', 21616.0)
('common_threshold_u_word=', 23893.0)
('rare_threshold_word=', 43233.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|Word          |Frequency|
|694 |jacob         |394      |
|695 |private       |394      |
|696 |stone         |393      |
|697 |past          |391      |
|698 |altar         |389      |
|699 |enter         |389      |
|700 |gate          |386      |
|701 |length        |386      |
|702 |copyright     |385      |
|703 |england       |385      |
|704 |arm           |383      |
|705 |english       |383      |
|706 |spent         |382      |
|707 |island        |381      |
|708 |offer         |380      |
|709 |paper         |380      |
|710 |brown         |379      |
|711 |legs          |379      |
|712 |loved         |379      |
|713 |school        |379      |
|714 |siddhartha    |379      |
|715 |sound         |379      |
|716 |twelve        |379      |
|717 |fifty         |378      |
|718 |makes         |378      |
|719 |books         |377      |
|720 |abraham       |376      |
|721 |lips          |376      |
|722 |unless        |376      |
|723 |possible      |375      |
|724 |royal         |374      |
|725 |wind          |374      |
|726 |f             |373      |
|727 |wine          |372      |
|728 |hall          |371      |
|729 |hours         |371      |
|730 |surely        |371      |
|731 |houses        |370      |
|732 |thoughts      |370      |
|733 |aaron         |369      |
|734 |eight         |368      |
|735 |meat          |368      |
|736 |archive       |367      |
|737 |deliver       |367      |
|738 |pulled        |367      |
|739 |offered       |365      |
|740 |faith         |364      |
|741 |wherein       |364      |
|742 |carry         |363      |
|743 |plain         |362      |
|744 |low           |361      |
|745 |idea          |360      |
|746 |oil           |360      |
|747 |change        |359      |
|748 |further       |359      |
|749 |top           |359      |
|750 |comes         |358      |
|751 |ill           |358      |
|752 |waters        |358      |
|753 |islands       |357      |
|754 |sit           |355      |
|755 |seek          |354      |
|756 |names         |353      |
|757 |nice          |353      |
|758 |notice        |353      |
|759 |whatsoever    |352      |
|760 |occasion      |351      |
|761 |replied       |351      |
|762 |dorothy       |350      |
|763 |hurt          |350      |
|764 |suddenly      |350      |
|765 |suppose       |350      |
|766 |north         |349      |
|767 |outside       |349      |
|768 |trees         |349      |
|769 |fellow        |348      |
|770 |indians       |348      |
|771 |lie           |348      |
|772 |serve         |348      |
|773 |below         |347      |
|774 |interest      |347      |
|775 |particular    |347      |
|776 |forty         |346      |
|777 |governor      |346      |
|778 |mercy         |346      |
|779 |beside        |345      |
|780 |condition     |345      |
|781 |dwell         |345      |
|782 |pleased       |345      |
|783 |writing       |345      |
|784 |inhabitants   |344      |
|785 |red           |344      |
|786 |dinner        |343      |
|787 |joy           |343      |
|788 |self          |343      |
|789 |follow        |342      |
|790 |learned       |342      |
|791 |visit         |342      |
|792 |l             |341      |
|793 |agree         |340      |
|794 |blessed       |340      |
|795 |jack          |340      |
|796 |lot           |339      |
|797 |showed        |339      |
|798 |sitting       |339      |
|799 |thighs        |339      |
|800 |jews          |338      |
|801 |led           |338      |
|802 |moved         |337      |
|803 |human         |336      |
|804 |immediately   |336      |
|805 |s             |336      |
|806 |stay          |336      |
|807 |fred          |335      |
|808 |meant         |335      |
|809 |prophet       |335      |
|810 |enemy         |333      |
|811 |justice       |333      |
|812 |trying        |333      |
|813 |understood    |333      |
|814 |deep          |332      |
|815 |drew          |332      |
|816 |easy          |332      |
|817 |paragraph     |332      |
|818 |sweet         |332      |
|819 |yea           |332      |
|820 |built         |331      |
|821 |praise        |331      |
|822 |late          |330      |
|823 |parts         |330      |
|824 |prophets      |330      |
|825 |queen         |330      |
|826 |across        |329      |
|827 |deal          |329      |
|828 |gentleman     |329      |
|829 |reached       |329      |
|830 |fight         |328      |
|831 |wilderness    |327      |
|832 |civill        |326      |
|833 |giving        |326      |
|834 |talking       |326      |
|835 |contrary      |325      |
|836 |covered       |325      |
|837 |assembly      |324      |
|838 |ones          |324      |
|839 |subjects      |324      |
|840 |multitude     |323      |
|841 |piece         |323      |
|842 |tabernacle    |323      |
|843 |forward       |322      |
|844 |months        |322      |
|845 |helmer        |321      |
|846 |information   |321      |
|847 |floor         |320      |
|848 |happened      |320      |
|849 |middle        |320      |
|850 |anyone        |319      |
|851 |rise          |319      |
|852 |wisdom        |319      |
|853 |front         |318      |
|854 |kill          |318      |
|855 |cold          |317      |
|856 |therein       |317      |
|857 |anger         |316      |
|858 |chance        |315      |
|859 |minutes       |315      |
|860 |write         |315      |
|861 |break         |314      |
|862 |french        |314      |
|863 |scrooge       |314      |
|864 |duty          |313      |
|865 |wendy         |313      |
|866 |ebook         |312      |
|867 |horse         |312      |
|868 |nation        |312      |
|869 |liked         |311      |
|870 |talked        |311      |
|871 |blue          |310      |
|872 |wherefore     |310      |
|873 |presence      |309      |
|874 |character     |308      |
|875 |christian     |308      |
|876 |heavy         |308      |
|877 |hosts         |307      |
|878 |possession    |306      |
|879 |seed          |306      |
|880 |doctor        |305      |
|881 |east          |305      |
|882 |history       |305      |
|883 |hot           |305      |
|884 |quickly       |305      |
|885 |solomon       |305      |
|886 |clean         |304      |
|887 |daughters     |304      |
|888 |grew          |304      |
|889 |slowly        |304      |
|890 |provide       |303      |
|891 |doubt         |302      |
|892 |instead       |302      |
|893 |mount         |302      |
|894 |continued     |301      |
|895 |future        |301      |
|896 |huck          |301      |
|897 |secret        |301      |
|898 |easily        |300      |
|899 |shut          |300      |
|900 |trust         |300      |
|901 |besides       |299      |
|902 |green         |299      |
|903 |play          |299      |
|904 |access        |298      |
|905 |dress         |298      |
|906 |especially    |297      |
|907 |tongue        |297      |
|908 |lifted        |296      |
|909 |throughout    |296      |
|910 |fair          |295      |
|911 |property      |295      |
|912 |sought        |295      |
|913 |b             |294      |
|914 |sake          |294      |
|915 |understanding |294      |
|916 |beyond        |293      |
|917 |doth          |293      |
|918 |raised        |293      |
|919 |appointed     |292      |
|920 |garden        |292      |
|921 |language      |292      |
|922 |tears         |292      |
|923 |clear         |291      |
|924 |pleasant      |291      |
|925 |believed      |290      |
|926 |placed        |290      |
|927 |rich          |290      |
|928 |sect          |290      |
|929 |week          |290      |
|930 |effect        |289      |
|931 |kingdome      |289      |
|932 |lest          |289      |
|933 |struck        |289      |
|934 |whatever      |289      |
|935 |offerings     |287      |
|936 |st            |287      |
|937 |hat           |286      |
|938 |lion          |286      |
|939 |religious     |286      |
|940 |added         |285      |
|941 |babylon       |285      |
|942 |edna          |285      |
|943 |lying         |285      |
|944 |observed      |285      |
|945 |pieces        |285      |
|946 |wood          |284      |
|947 |marriage      |283      |
|948 |disciples     |282      |
|949 |iron          |282      |
|950 |trademark     |282      |
|951 |ears          |281      |
|952 |including     |281      |
|953 |iniquity      |281      |
|954 |leaving       |281      |
|955 |ghost         |280      |
|956 |wide          |280      |
|957 |speaking      |279      |
|958 |certainly     |278      |
|959 |greatest      |276      |
|960 |heads         |276      |
|961 |impossible    |276      |
|962 |afterward     |275      |
|963 |horses        |275      |
|964 |levites       |275      |
|965 |refund        |275      |
|966 |sick          |275      |
|967 |spread        |275      |
|968 |bare          |274      |
|969 |departed      |274      |
|970 |former        |274      |
|971 |position      |274      |
|972 |wrong         |274      |
|973 |promise       |273      |
|974 |support       |273      |
|975 |c             |272      |
